id,name,description
fig6,Figura 6,Mapa de distribución de las lenguas indígenas en el Orinoco Medio para el momento del contacto
fig7,Figura 7,Mapa de distribución de las lenguas indígenas en el Sureste de Suramérica para el momento del contacto. [Según Loukotka (1968)] con modificationes en base al trabajo de M. Durbin (1977).
